,file_path,sentence,section,entities,labels,position_start,position_end,abbreviations,abbreviations_longform,abbreviation_start,abbreviation_end
124,C:\Users\shiwa\pastoral_74\PMC3461017\sections\0_front\1_article-meta\26_abstract.xml,"Analysis of HapMap 3 data using Fixation Index (Fst) and two metrics of haplotype diversity: the integrated Haplotype Score (iHS) and the Cross Population Extended Haplotype Homozygosity (XP-EHH), identified genomic regions and single nucleotide polymorphisms (SNPs) as strong candidates for recent selection for lactase persistence and cholesterol regulation in 143–156 founder individuals from the Maasai population in Kinyawa, Kenya (MKK).",ABS,"Fixation, Fst, the Cross Population Extended Haplotype Homozygosity, MKK","ORG, ORG, ORG, ORG","32, 48, 134, 437","40, 51, 186, 440",,,,
125,C:\Users\shiwa\pastoral_74\PMC3461017\sections\0_front\1_article-meta\26_abstract.xml,"The non-synonmous SNP with the highest genome-wide Fst was the TC polymorphism at rs2241883 in Fatty Acid Binding Protein 1( FABP1) , known to reduce low density lipoprotein and tri-glyceride levels in Europeans.",ABS,"SNP, Fst, FABP1","ORG, ORG, ORG","18, 51, 125","21, 54, 130",,,,
126,C:\Users\shiwa\pastoral_74\PMC3461017\sections\0_front\1_article-meta\26_abstract.xml,The strongest signal identified by all three metrics was a 1.7 Mb region on Chr2q21.,ABS,Chr2q21,ORG,76,83,,,,
128,C:\Users\shiwa\pastoral_74\PMC3461017\sections\0_front\1_article-meta\26_abstract.xml,"Sanger sequencing of DNA from six MKK samples showed that the GC-14010 polymorphism in the  MCM6  gene, known to be associated with lactase persistence in Africans, is segregating in MKK at high frequency (∼58%).",ABS,"MKK, GC-14010","ORG, ORG","34, 62","37, 70",,,,
129,C:\Users\shiwa\pastoral_74\PMC3461017\sections\0_front\1_article-meta\26_abstract.xml,"The Cytochrome P450 Family 3 Subfamily A ( CYP3A)  cluster of genes, involved in cholesterol metabolism, was identified by Fst and iHS as candidate loci under selection.",ABS,Fst,ORG,123,126,,,,
131,C:\Users\shiwa\pastoral_74\PMC3519842\sections\0_front\1_article-meta\20_abstract.xml,Community-based management (CBM) has been implemented in socio-ecological systems (SES) worldwide.,ABS,"CBM, SES","ORG, ORG","28, 83","31, 86",,,,
132,C:\Users\shiwa\pastoral_74\PMC3519842\sections\0_front\1_article-meta\20_abstract.xml,"CBM has also been the prevailing policy in Sámi pastoral SES in Norway, but the outcomes tend to vary extensively among resource groups (“siidas”).",ABS,"CBM, SES","ORG, ORG","0, 57","3, 60",,,,
141,C:\Users\shiwa\pastoral_74\PMC3519842\sections\0_front\1_article-meta\20_abstract.xml,"The lack of nestedness in self-organization for managing pastures on larger scales, combined with the past economic policies, could explain why CBM is less sustainable on the largest winter pastures.",ABS,CBM,ORG,144,147,,,,
144,C:\Users\shiwa\pastoral_74\PMC4212918\sections\0_front\1_article-meta\23_abstract.xml,"Yet, stemming from a lack of appropriate national survey data, no large-scale comparative study of Maasai child health has been conducted.",ABS,Maasai,ORG,99,105,,,,
145,C:\Users\shiwa\pastoral_74\PMC4212918\sections\0_front\1_article-meta\23_abstract.xml,Savannas Forever Tanzania surveyed the health of over 3500 children from 56 villages in northern Tanzania between 2009 and 2011.,ABS,Savannas Forever Tanzania,ORG,0,25,,,,
154,C:\Users\shiwa\pastoral_74\PMC4212918\sections\0_front\1_article-meta\23_abstract.xml,Maasai who rely primarily on livestock herding showed signs of further disadvantage compared to Maasai relying primarily on agriculture.,ABS,Maasai,ORG,96,102,,,,
176,C:\Users\shiwa\pastoral_74\PMC4514881\sections\0_front\1_article-meta\22_abstract.xml,"Complete grazing bans on winter pastures in steppe habitats on the QTP may assist in the recovery of highly eroded pastures, but may not increase annual vegetative production.",ABS,QTP,ORG,67,70,,,,
191,C:\Users\shiwa\pastoral_74\PMC4915357\sections\0_front\1_article-meta\16_abstract.xml,"Although Siberia was inhabited by modern humans at an early stage, there is still debate over whether it remained habitable during the extreme cold of the Last Glacial Maximum or whether it was subsequently repopulated by peoples with recent shared ancestry.",ABS,the Last Glacial Maximum,ORG,151,175,,,,
212,C:\Users\shiwa\pastoral_74\PMC5299638\sections\0_front\1_article-meta\13_abstract.xml,Background Pastoral social-ecological systems (SESs) are adaptive and complex systems rooted in the extensive exploitation of forage plants for livestock-based livelihoods and culture.,ABS,Background Pastoral,ORG,0,19,,,,
217,C:\Users\shiwa\pastoral_74\PMC5299638\sections\0_front\1_article-meta\13_abstract.xml,Methods The data analyzed were collected in the Sahrawi refugee camps of Algeria and in Western Sahara between 2006 and 2010.,ABS,Sahrawi,ORG,48,55,,,,
234,C:\Users\shiwa\pastoral_74\PMC5496975\sections\0_front\1_article-meta\14_abstract.xml,This paper presents an in-depth investigation of the livelihood strategies of Fulani pastoralists in north central Nigeria.,ABS,Fulani,ORG,78,84,,,,
249,C:\Users\shiwa\pastoral_74\PMC5874267\sections\0_front\1_article-meta\15_abstract.xml,"For example unlike the common understanding that forest resources utilisation increases with increasing human population, Mukogodo dry forested ecosystem case is different in that the majority of the respondents (78.9%) reported that the forest resource use was more in that period than now and also a similar majority (74.2%) had the same opinion that forest resource utilisation was low compared to last 30 years.",ABS,Mukogodo,ORG,122,130,,,,
251,C:\Users\shiwa\pastoral_74\PMC5874267\sections\0_front\1_article-meta\15_abstract.xml,"Groups are organised (environmental management committee) to address conservation, political and vulnerability issues in the pastoral dry forested ecosystem which will sustain pastoralism in the ecosystem.",ABS,Groups,ORG,0,6,,,,
252,C:\Users\shiwa\pastoral_74\PMC6167352\sections\0_front\1_article-meta\13_abstract.xml,The climate deterioration after the most recent African humid period (AHP) is a notable past example of desertification.,ABS,AHP,ORG,70,73,,,,
255,C:\Users\shiwa\pastoral_74\PMC6167352\sections\0_front\1_article-meta\13_abstract.xml,"Using a climate-vegetation model, we estimate the natural length of the most recent AHP.",ABS,AHP,ORG,84,87,,,,
260,C:\Users\shiwa\pastoral_74\PMC6167352\sections\0_front\1_article-meta\14_abstract.xml,Climate deterioration towards desertification in North Africa following the African Humid Period has previously been associated with the emergence of pastoralism.,ABS,the African Humid Period,ORG,72,96,,,,
277,C:\Users\shiwa\pastoral_74\PMC6341659\sections\0_front\1_article-meta\13_abstract.xml,Nearly half of the Bantu-speaking agropastoralists from Botswana have gut bacteria that are very similar to the Philadelphian cohort.,ABS,Botswana,ORG,56,64,,,,
285,C:\Users\shiwa\pastoral_74\PMC6367989\sections\0_front\1_article-meta\28_abstract.xml,"We detect strong signatures of selection in genes involved in the hypoxia and ultraviolet signaling pathways (e.g., HIF-1 pathway and  HBB  and  MITF  genes) and in genes associated with morphological traits such as horn size and shape (e.g.,  RXFP2 ).",ABS,HBB,ORG,135,138,,,,
287,C:\Users\shiwa\pastoral_74\PMC6367989\sections\0_front\1_article-meta\28_abstract.xml,"The introgressed genomic regions are enriched in genes related to oxygen transportation system, sensory perception, and morphological phenotypes, in particular the genes  HBB  and  RXFP2  with strong signs of adaptive introgression.",ABS,HBB,ORG,171,174,,,,
290,C:\Users\shiwa\pastoral_74\PMC6367989\sections\0_front\1_article-meta\28_abstract.xml,Our findings contribute to a depth understanding of early pastoralism and the local adaptation of Tibetan sheep as well as the late-Holocene human occupation of the QTP.,ABS,QTP,ORG,165,168,,,,
298,C:\Users\shiwa\pastoral_74\PMC6393766\sections\0_front\1_article-meta\23_abstract.xml,"Although we found no statistically significant effect of LP on fertility, a significant effect ( P  = 0.002) was observed of LP on body mass index (BMI) in males and of BMI on fertility ( P  = 0.003).",ABS,BMI,ORG,148,151,,,,
312,C:\Users\shiwa\pastoral_74\PMC6735883\sections\0_front\1_article-meta\21_abstract.xml,Assessing relationships among regional Khoe-San groups has been challenging due to admixture with immigrant populations that obscure past population affinities and gene flow among these autochthonous communities.,ABS,Khoe-San,ORG,39,47,,,,
313,C:\Users\shiwa\pastoral_74\PMC6735883\sections\0_front\1_article-meta\21_abstract.xml,"We re-evaluate a combined genome-wide data set of previously published southern Africa Khoe-San populations in conjunction with novel data from Khoe-San individuals collected in Xade (Central Kalahari Game Reserve, Botswana) prior to their resettlement outside the reserve.",ABS,"Africa Khoe-San, Khoe-San","ORG, ORG","80, 144","95, 152",,,,
314,C:\Users\shiwa\pastoral_74\PMC6735883\sections\0_front\1_article-meta\21_abstract.xml,"After excluding regions in the genome that trace their ancestry to recent migrant groups, the genetic diversity of 20 Khoe-San groups fitted an isolation-by-distance model.",ABS,Khoe-San,ORG,118,126,,,,
315,C:\Users\shiwa\pastoral_74\PMC6735883\sections\0_front\1_article-meta\21_abstract.xml,"Even though isolation-by-distance explained most genetic affinities between the different autochthonous groups, additional signals of contact between Khoe-San groups could be detected.",ABS,Khoe-San,ORG,150,158,,,,
316,C:\Users\shiwa\pastoral_74\PMC6735883\sections\0_front\1_article-meta\21_abstract.xml,"For instance, we found stronger genetic affinities, than what would be explained by isolation-by-distance gene flow, between the two geographically separated Khoe-San groups, who speak branches of the Kx’a-language family (ǂHoan and Ju).",ABS,"Khoe-San, Kx’a","ORG, ORG","158, 201","166, 205",,,,
317,C:\Users\shiwa\pastoral_74\PMC6735883\sections\0_front\1_article-meta\21_abstract.xml,We also scanned the genome-wide data for signals of adaptive gene flow from farmers/herders into Khoe-San groups and identified a number of genomic regions potentially introduced by the arrival of the new groups.,ABS,Khoe-San,ORG,97,105,,,,
318,C:\Users\shiwa\pastoral_74\PMC6735883\sections\0_front\1_article-meta\21_abstract.xml,"This study provides a comprehensive picture of affinities among Khoe-San groups, prior to the arrival of recent migrants, and found that these affinities are primarily determined by the geographic landscape.",ABS,Khoe-San,ORG,64,72,,,,
339,C:\Users\shiwa\pastoral_74\PMC6888939\sections\0_front\1_article-meta\13_abstract.xml,Background Human population history in the Holocene was profoundly impacted by changes in lifestyle following the invention and adoption of food-production practices.,ABS,Background Human,ORG,0,16,,,,
341,C:\Users\shiwa\pastoral_74\PMC6888939\sections\0_front\1_article-meta\13_abstract.xml,"Here we investigate the population history of the Fulani, a pastoral population extending throughout the African Sahel/Savannah belt.",ABS,the African Sahel/Savannah,ORG,101,127,,,,
344,C:\Users\shiwa\pastoral_74\PMC6888939\sections\0_front\1_article-meta\13_abstract.xml,"The lactase persistence (LP) trait in the Fulani is conferred by the presence of the allele T-13910, which is also present at high frequencies in Europe.",ABS,Fulani,ORG,42,48,,,,
346,C:\Users\shiwa\pastoral_74\PMC6888939\sections\0_front\1_article-meta\13_abstract.xml,We furthermore directly link the T-13910 haplotype with the Lactase Persistence phenotype through a Genome Wide Association study (GWAS) and identify another genomic region in the vicinity of the  SPRY2  gene associated with glycaemic measurements after lactose intake.,ABS,Genome Wide Association,ORG,100,123,,,,
350,C:\Users\shiwa\pastoral_74\PMC6922353\sections\0_front\1_article-meta\23_abstract.xml,"A multidisciplinary study (geomorphology, sedimentology and palynology) shows that the landscapes of the southwest coast of Corsica have been deeply modified by humans and the climate since 3000 BC.",ABS,BC,ORG,195,197,,,,
351,C:\Users\shiwa\pastoral_74\PMC6922353\sections\0_front\1_article-meta\23_abstract.xml,Significant and rapid landscape transformations are recorded between the Chalcolithic and the Middle Bronze Ages (3000–1300 BC).,ABS,"the Middle Bronze Ages, BC","ORG, ORG","90, 124","112, 126",,,,
352,C:\Users\shiwa\pastoral_74\PMC6922353\sections\0_front\1_article-meta\23_abstract.xml,"Several major (2.2 ka BC, 1.2 ka BC) and local (3000 BC) detrital events affected the Taravo Lower Valley in relation to global climatic changes and anthropic activities.",ABS,"BC, BC, BC, the Taravo Lower Valley","ORG, ORG, ORG, ORG","22, 33, 53, 82","24, 35, 55, 105",,,,
353,C:\Users\shiwa\pastoral_74\PMC6922353\sections\0_front\1_article-meta\23_abstract.xml,The vegetation dynamics since 3000 BC show alternating phases of agriculture and abandonment until the complete disappearance of the original forest populations in the vicinity of the Canniccia Marshes.,ABS,BC,ORG,35,37,,,,
354,C:\Users\shiwa\pastoral_74\PMC6922353\sections\0_front\1_article-meta\23_abstract.xml,An early phase of  Olea  cultivation is recorded between 2900 and 2300 BC.,ABS,BC,ORG,71,73,,,,
355,C:\Users\shiwa\pastoral_74\PMC6922353\sections\0_front\1_article-meta\23_abstract.xml,"Plant macro-remains indicate that cereals, vine and many species of Fabaceae were cultivated in the nearby of the archaeological sites during the middle to the late Chalcolithic Age.",ABS,Fabaceae,ORG,68,76,,,,
356,C:\Users\shiwa\pastoral_74\PMC6922353\sections\0_front\1_article-meta\23_abstract.xml,The event of 2.2 ka BC corresponds to an abandonment phase in the lower Taravo Valley.,ABS,BC,ORG,20,22,,,,
357,C:\Users\shiwa\pastoral_74\PMC6922353\sections\0_front\1_article-meta\23_abstract.xml,Pastoralism dominated agricultural activities between 2200 and 1700 BC.,ABS,BC,ORG,68,70,,,,
365,C:\Users\shiwa\pastoral_74\PMC7099212\sections\0_front\1_article-meta\14_abstract.xml,Camel herd sizes per household range from few heads (five to ten) to several hundreds.,ABS,Camel,ORG,0,5,,,,
380,C:\Users\shiwa\pastoral_74\PMC7186082\sections\0_front\1_article-meta\40_abstract.xml,"Here, we recovered eight  Salmonella enterica  subsp.",ABS,Salmonella,ORG,26,36,,,,
382,C:\Users\shiwa\pastoral_74\PMC7186082\sections\0_front\1_article-meta\40_abstract.xml,Despite the high genetic diversity of  S. enterica  all ancient bacterial genomes clustered in a single previously uncharacterized branch that contains  S. enterica  adapted to multiple mammalian species.,ABS,"S., S.","ORG, ORG","39, 153","41, 155",,,,
385,C:\Users\shiwa\pastoral_74\PMC7186082\sections\0_front\1_article-meta\40_abstract.xml,These observations support the concept that the emergence of human adapted  S. enterica  is linked to human cultural transformations.,ABS,S.,ORG,76,78,,,,
388,C:\Users\shiwa\pastoral_74\PMC7445821\sections\1_front\1_article-meta\14_abstract.xml,"This essay focuses on the abrupt end of the African Humid Episode (9000–6000 cal BP), ca .",ABS,the African Humid Episode,ORG,40,65,,,,
389,C:\Users\shiwa\pastoral_74\PMC7445821\sections\1_front\1_article-meta\14_abstract.xml,5000 cal BP in the Sahara.,ABS,BP,ORG,9,11,,,,
395,C:\Users\shiwa\pastoral_74\PMC7445821\sections\1_front\1_article-meta\14_abstract.xml,Sustained research on livestock and human health are of paramount importance given the accelerating rate of world urbanization.,ABS,Sustained,ORG,0,9,,,,
413,C:\Users\shiwa\pastoral_74\PMC7447058\sections\0_front\1_article-meta\21_abstract.xml,"NTD research topics included guinea worm, lymphatic filariasis, rabies, soil-transmitted helminths, tuberculosis (bovine and human), cholera, and rift valley fever.",ABS,NTD,ORG,0,3,,,,
435,C:\Users\shiwa\pastoral_74\PMC7511295\sections\0_front\1_article-meta\13_abstract.xml,"Ethnobotanical indices including relative frequency of citation (RFC), relative importance (RI), cultural value (CV), and use value (UV) were estimated.",ABS,RI,ORG,92,94,,,,
441,C:\Users\shiwa\pastoral_74\PMC7511295\sections\0_front\1_article-meta\13_abstract.xml,Positive correlation was observed between ethnobotanical indices (RFC and RI) and ecological index (IVI).,ABS,RI,ORG,74,76,,,,
445,C:\Users\shiwa\pastoral_74\PMC7511295\sections\0_front\1_article-meta\13_abstract.xml,"Medicinal plants had high ecological value and were severely exploited, threatening sustainability of arid and semiarid ecosystems.",ABS,Medicinal,ORG,0,9,,,,
451,C:\Users\shiwa\pastoral_74\PMC7641598\sections\0_front\1_article-meta\23_abstract.xml,"Fieldwork by a team from the Institute of Archaeology of the Chinese Academy of Social Science (CASS) and the University of Sydney, Australia have identified cyclical land use practices associated with the Andronovo cultural complex.",ABS,"the Institute of Archaeology, the Chinese Academy of Social Science, the University of Sydney","ORG, ORG, ORG","25, 57, 106","53, 94, 130",,,,
473,C:\Users\shiwa\pastoral_74\PMC7773237\sections\0_front\1_article-meta\21_abstract.xml,"Outcomes demonstrate a large scale spatio-temporal trend of pastoralists migrating to the southeast of the study area with high density areas in the south of Nugaal, the northwest of Sool, and along the Ethiopian border.",ABS,Nugaal,ORG,158,164,,,,
486,C:\Users\shiwa\pastoral_74\PMC7790420\sections\0_front\1_article-meta\18_abstract.xml,"I quantified plant species diversity (Species richness, Shannon index, Simpson diversity index, and Pielou evenness index) and ecosystem function (above ground net primary productivity ANPP).",ABS,Simpson,ORG,71,78,,,,
488,C:\Users\shiwa\pastoral_74\PMC7790420\sections\0_front\1_article-meta\18_abstract.xml,"The results demonstrate that grazing significantly contributes to greater plant species diversity (Species richness, Shannon index, Simpson diversity index, and Pielou evenness index) and ecosystem function (using above ground net primary productivity as an indicator).",ABS,Simpson,ORG,132,139,,,,
489,C:\Users\shiwa\pastoral_74\PMC7790420\sections\0_front\1_article-meta\18_abstract.xml,The multidimensional scaling and ANOSIM (Analysis of Similarities) pointed to significant differences in plant species assemblages in grazed and ungrazed areas.,ABS,ANOSIM,ORG,33,39,,,,
505,C:\Users\shiwa\pastoral_74\PMC8158971\sections\0_front\1_article-meta\22_abstract.xml,This study was carried out in Dakar and in a very isolated rural area in the North East of Senegal: the sylvo-pastoral zone of Ferlo.,ABS,Ferlo,ORG,127,132,,,,
506,C:\Users\shiwa\pastoral_74\PMC8158971\sections\0_front\1_article-meta\22_abstract.xml,"A total of six focus groups were conducted for the qualitative phase, while the quantitative phase was conducted on representative samples of the populations living in Dakar (N = 1000) and Téssékéré (N = 500).",ABS,Téssékéré (N =,ORG,189,203,,,,
509,C:\Users\shiwa\pastoral_74\PMC8158971\sections\0_front\1_article-meta\22_abstract.xml,"However, the lifeworld of the rural Fulani of the Ferlo is being undermined by global climatic disturbances, which imposes rapid adaptations of pastoralism; otherwise this activity, that is not only subsistence but also identity-based, may disappear.",ABS,Ferlo,ORG,50,55,,,,
510,C:\Users\shiwa\pastoral_74\PMC8275782\sections\0_front\1_article-meta\13_abstract.xml,"The transition from hunting to herding transformed the cold, arid steppes of Mongolia and Eastern Eurasia into a key social and economic center of the ancient world, but a fragmentary archaeological record limits our understanding of the subsistence base for early pastoral societies in this key region.",ABS,Eastern Eurasia,ORG,90,105,,,,
515,C:\Users\shiwa\pastoral_74\PMC8287776\sections\0_front\1_article-meta\13_abstract.xml,"Background Streptococcus agalactiae  (Group B  Streptococcus , (GBS)) is the leading cause of mastitis (inflammation of the mammary gland) among dairy camels in Sub-Saharan Africa, with negative implications for milk production and quality and animal welfare.",ABS,Background Streptococcus,ORG,0,24,,,,
516,C:\Users\shiwa\pastoral_74\PMC8287776\sections\0_front\1_article-meta\13_abstract.xml,Camel milk is often consumed raw and presence of GBS in milk may pose a public health threat.,ABS,Camel,ORG,0,5,,,,
522,C:\Users\shiwa\pastoral_74\PMC8287776\sections\0_front\1_article-meta\13_abstract.xml,"Most (54/65) isolates belonged to ST616, indicative of contagious transmission.",ABS,ST616,ORG,34,39,,,,
523,C:\Users\shiwa\pastoral_74\PMC8287776\sections\0_front\1_article-meta\13_abstract.xml,"Phylogenetic analysis of GBS core genomes showed similar levels of heterogeneity within- and between herds, suggesting ongoing between-herd transmission.",ABS,GBS,ORG,25,28,,,,
524,C:\Users\shiwa\pastoral_74\PMC8287776\sections\0_front\1_article-meta\13_abstract.xml,"The lactose operon, a marker of GBS adaptation to the mammary niche, was found in 75 % of the isolates, and tetracycline resistance gene  tet (M) in all but two isolates.",ABS,GBS,ORG,32,35,,,,
526,C:\Users\shiwa\pastoral_74\PMC8287776\sections\0_front\1_article-meta\13_abstract.xml,Conclusions GBS in milk from Kenyan camel herds largely belongs to ST616 and shows signatures of adaptation to the udder.,ABS,ST616,ORG,67,72,,,,
530,C:\Users\shiwa\pastoral_74\PMC8419441\sections\1_front\1_article-meta\16_abstract.xml,"Alleles promoting continued activity of the enzyme lactase through the life-course (lactase persistence) evolved in several global regions within the last 7,000 years.",ABS,Alleles,ORG,0,7,,,,
541,C:\Users\shiwa\pastoral_74\PMC8419441\sections\1_front\1_article-meta\16_abstract.xml,"The emergence of lactase persistence among dairying populations could have helped early European farmers adapt rapidly to northern latitudes, East African pastoralists adapt to sudden climate shifts to drier environments, and Near Eastern populations counteract secular declines in height associated with early agriculture.",ABS,Near Eastern,ORG,226,238,,,,
547,C:\Users\shiwa\pastoral_74\PMC8560853\sections\1_front\1_article-meta\13_abstract.xml,We then used the programs PCAdapt and LFMM to identify signatures of artificial and environmental selection.,ABS,"PCAdapt, LFMM","ORG, ORG","26, 38","33, 42",,,,
548,C:\Users\shiwa\pastoral_74\PMC8560853\sections\1_front\1_article-meta\13_abstract.xml,Considering cradles instead of current GPS coordinates resulted in a greater number of signatures identified by the LFMM analysis.,ABS,LFMM,ORG,116,120,,,,
551,C:\Users\shiwa\pastoral_74\PMC8560853\sections\1_front\1_article-meta\13_abstract.xml,"Selection signatures involving the PCDH9 and KLH1 genes, as well as NBEA/NBEAL1, were identified in both species and thus could play an important adaptive role.",ABS,NBEA,ORG,68,72,,,,
552,C:\Users\shiwa\pastoral_74\PMC8585949\sections\1_front\1_article-meta\13_abstract.xml,"We applied the process-based model, LandscapeDNDC, to estimate feed availability in the Sahelian and Sudanian agro-ecological zones of West Africa as a basis for calculating the regional Livestock Carrying Capacity (LCC).",ABS,"LandscapeDNDC, Livestock Carrying Capacity","ORG, ORG","36, 187","49, 214",,,,
557,C:\Users\shiwa\pastoral_74\PMC8585949\sections\1_front\1_article-meta\13_abstract.xml,"Overall, the S/D decreased from ~ 2.6 (surplus) in 1981 to ~ 0.5 (deficit) in 2019, with a north–south gradient of increasing S/D.",ABS,S/D.,ORG,126,130,,,,
559,C:\Users\shiwa\pastoral_74\PMC8752612\sections\1_front\1_article-meta\13_abstract.xml,A growing body of archaeological research on agro-pastoralist populations of the Inner Asian mountains indicates that these groups adapted various systems of mobile herding and cultivation to ecotopes across the region from as early as 5000 BP.,ABS,BP,ORG,241,243,,,,
563,C:\Users\shiwa\pastoral_74\PMC8752612\sections\1_front\1_article-meta\13_abstract.xml,Our data indicate spatially and temporally discontinuous patterns of agro-pastoralist land use beginning close to 4000 BP.,ABS,BP,ORG,119,121,,,,
591,C:\Users\shiwa\pastoral_74\PMC8897645\sections\1_front\1_article-meta\15_abstract.xml,Camel and goats are perceived as drought-resistant livestock species and cattle keepers shifting to have more camel and goat in response to prevailing drought in the study area.,ABS,Camel,ORG,0,5,,,,
596,C:\Users\shiwa\pastoral_74\PMC9094512\sections\1_front\1_article-meta\37_abstract.xml,"Here we present proteomic evidence for shifts in dairy consumption in the Altai Mountains, drawing on evidence from sites dating from the Early Bronze to the Late Iron Age.",ABS,the Late Iron Age,ORG,154,171,,,,
598,C:\Users\shiwa\pastoral_74\PMC9094512\sections\1_front\1_article-meta\37_abstract.xml,"Our results suggest that the subsistence basis for the development of complex societies began at the dawn of the Bronze Age, with the adoption of ruminant livestock.",ABS,the Bronze Age,ORG,109,123,,,,
600,C:\Users\shiwa\pastoral_74\PMC9094512\sections\1_front\1_article-meta\37_abstract.xml,"While pronounced social changes and monumental constructions occurred in tandem with the first evidence for horse dairying, ~1350 cal BCE, these shifts were fueled by a long-term economic dependence on ruminant livestock.",ABS,BCE,ORG,134,137,,,,
